date,pe
2022-09-07,19.86
2022-09-08,20.0
2022-09-09,20.02
2022-09-12,20.21
2022-09-13,20.23
2022-09-14,20.25
2022-09-15,20.24
2022-09-16,19.78
2022-09-19,19.63
2022-09-20,19.86
2022-09-21,19.73
2022-09-22,19.84
2022-09-23,19.45
2022-09-26,18.8
2022-09-27,18.9
2022-09-28,18.82
2022-09-29,18.93
2022-09-30,18.82
2022-10-03,18.74
2022-10-04,18.99
2022-10-06,19.19
2022-10-07,19.26
2022-10-10,19.15
2022-10-11,18.85
2022-10-12,18.94
2022-10-13,18.81
2022-10-14,18.82
2022-10-17,18.86
2022-10-18,19.03
2022-10-19,19.02
2022-10-20,19.03
2022-10-21,18.95
2022-10-24,19.13
2022-10-25,18.95
2022-10-27,19.03
2022-10-28,18.96
2022-10-31,19.05
2022-11-01,19.15
2022-11-02,19.18
2022-11-03,19.21
2022-11-04,19.25
2022-11-07,19.23
2022-11-09,19.16
2022-11-10,18.98
2022-11-11,19.1
2022-11-14,19.12
2022-11-15,18.82
2022-11-16,18.61
2022-11-17,18.58
2022-11-18,18.48
2022-11-21,18.5
2022-11-22,18.48
2022-11-23,18.59
2022-11-24,18.69
2022-11-25,18.84
2022-11-28,19.04
2022-11-29,18.97
2022-11-30,19.07
2022-12-01,19.15
2022-12-02,19.28
2022-12-05,19.34
2022-12-06,19.3
2022-12-07,19.22
2022-12-08,19.33
2022-12-09,19.13
2022-12-12,19.23
2022-12-13,19.34
2022-12-14,19.47
2022-12-15,19.38
2022-12-16,19.23
2022-12-19,19.28
2022-12-20,19.24
2022-12-21,18.85
2022-12-22,18.52
2022-12-23,17.71
2022-12-26,18.3
2022-12-27,18.52
2022-12-28,18.56
2022-12-29,18.59
2022-12-30,19.04
2023-01-02,19.18
2023-01-03,19.21
2023-01-04,19.04
2023-01-05,19.03
2023-01-06,18.89
2023-01-09,18.96
2023-01-10,18.87
2023-01-11,18.88
2023-01-12,18.89
2023-01-13,18.94
2023-01-16,18.93
2023-01-17,18.87
2023-01-18,18.95
2023-01-19,18.91
2023-01-20,18.75
2023-01-23,18.7
2023-01-24,18.58
2023-01-25,18.38
2023-01-27,18.06
2023-01-30,17.98
2023-01-31,18.48
2023-02-01,18.27
2023-02-02,18.24
2023-02-03,18.13
2023-02-06,18.15
2023-02-07,18.01
2023-02-08,18.13
2023-02-09,18.1
2023-02-10,18.15
2023-02-13,17.87
2023-02-14,17.76
2023-02-15,17.88
2023-02-16,18.11
2023-02-17,18.26
2023-02-20,18.2
2023-02-21,18.14
2023-02-22,17.94
2023-02-23,17.97
2023-02-24,17.92
2023-02-27,17.71
2023-02-28,17.77
2023-03-01,17.99
2023-03-02,17.93
2023-03-03,18.06
2023-03-06,18.24
2023-03-08,18.29
2023-03-09,18.23
2023-03-10,18.1
2023-03-13,17.72
2023-03-14,17.57
2023-03-15,17.6
2023-03-16,17.48
2023-03-17,17.59
2023-03-20,17.44
